user_id,n_val,mle_top1,map_top1
AEEPQRC5D5X3UAPEBU44KDSE6KEA,3,1,1
AEEWPWV7L4WTSTBKU5A5XF6L7Z6A,1,0,0
AEF4QCBYMXQN3RDFNM4ZXM67UTJA,26,1,1
AEF6WUNSOWXWE5FISAHXENQG3AZA,11,0,0
AEF75GURLKA7R6DHAH7YWJO3VRGQ,2,1,1
AEF7PVUOZ36R7LPNPPRXVKOMQWCQ,6,1,1
AEFBSC2H3OUENEF73ZLYA77BKFYA,5,1,1
AEFDMVDBTPVJ54OUWN5S5UAEQL2Q,1,0,1
AEFDQU72EDF6ZZB6WCRDYJJOYVBQ,1,1,0
AEFEIRBVNAZXBNYPT3C5TBSHUUSQ,1,1,1
AEFFBELJQNXF6QRAAB4MTFKDMIJA,3,0,0
AEFFCTR5JXABNYSBYT4N6BKJHEWQ,2,1,1
AEFHCJCSGZPTDWHETFSB7GCWJLGA,6,1,1
AEFI53N4EN6D6DKSV7U3BEQRY2XA,1,0,0
AEFIVDNFOY77OG6OBPFKAVC2FESQ,1,0,0
AEFKF6R2GUSK2AWPSWRR4ZO36JVQ,5,0,0
AEFNV74OOY4RT6KXDACCTCEJROYA,2,1,1
AEFOM6CNNPOEJUQX6C3JR2MH7DAQ,3,0,1
AEFQFZWJLGPDKRO4L7G3QBZIEF3Q,2,1,1
AEFRGGNPKEWQDLKBTYQSF72WPHSA,22,0,0
AEFS3IWS4TSNEFFNYGAMVG2ZHIRA,1,0,0
AEFSLDNH22VJDYW3ESKQK7GYCGTA,1,1,0
AEFSMQIPFOHS23QKQSBZVHXEFUTA,6,0,0
AEFT5H226QN66BR37QAVMPRCNJUA,2,1,1
AEFV7HGJJO3DFBMDMB2SI4LCIXLQ,1,1,0
AEFVW4PUVKW4AOPZTZVXWN4I7PEQ,3,0,0
AEFW7N4GQ3VBQHBELXLHEQFAK2VA,1,0,1
AEFZUWRKDC5A7UNNJ6UNMA3H4WMQ,4,1,1
AEG6CE2W2PZC5JEH765HFWNG7PMQ,1,0,0
AEGB67V43MBFFVXRQKJ4V7UJTYIQ,1,0,1
AEGBGHJKVVKSN2FIASLFWE2P32UA,5,1,1
AEGC2QAVYZGT4HMW5UETR5KXONCA,2,0,1
AEGC6KOJ2JNIZ25Q5IBFJ6GFBKTA,2,1,1
AEGC737FLBKT2AFLGFG2Z6GYJWJA,3,1,1
AEGCWKCZQ5UMLGUD6DYBHU3F2A2Q,2,1,1
AEGEKIAG5JKL3GNYIRIZW4QRUKAA,1,0,0
AEGGHCKB32ZBMXYLDF2BZVWUIOTQ,4,0,0
AEGGUOMSBEWBK5XQGZRIB3HDQDIQ,2,0,1
AEGHDWJX4FS22WL6473PR62A25CQ,1,0,0
AEGHPBIEA2BDN7X4IFFXFXIBWWIQ,1,0,1
AEGICPHR4ZXVKFN3FHERON7RGH3A,3,1,1
AEGIT2BIKUAOG3GCRY4BPR5XVUZA,1,1,1
AEGNUET3L7POJRCBZNOMAHBTOE4Q,1,0,1
AEGOCGDOMF2RDJDADNWLMSC6ZGLA,1,1,1
AEGQCWNFBJPY76NCB33P5ZKSOE2A,2,1,1
AEGUQHHE45MNUSMHPY22WIGFQV7A,1,0,1
AEGUQZQSWAFWNFYD4D3642PQ3HRA,1,0,0
AEGWCZOM4I6NTZZQBY2KIVGED34A,3,0,0
AEGXPJ722V646VWT6WVIF23VW34A,1,0,0
AEGYJ3HXGB5ZCQNOMOEPNTEQVMFA,1,0,1
AEGYU6OM2X66SMZN6AF3TSQ3N5PQ,9,1,1
AEH25KKO5IS6IDZMDN2FHJHQ76SA,2,1,1
AEH2XMNYLTGKTJPLN5WPWKTIAH4Q,1,0,1
AEH4BPCYA3F7RKZDUR7NNNPTCNSA,2,0,0
AEH4GA4WH4QWCNSRMHVNNWSPTW6A,1,0,0
AEH6A7EX47OFTTECOAAAV755SG7A,2,0,0
AEHBPYDV6HBXFHGFECXZHER24Q4Q,3,1,1
AEHCFXNRG5VUFB6IZ7NP6QHP7PQA,1,0,0
AEHCMJ6TKCISR6QYM7TM2AE3MEIA,2,1,1
AEHDGDO56R6SF2O4MBDD4TIKJE7Q,1,1,1
AEHDOHMIVBYT7OEVZQR4A4KD5GDA,2,0,0
AEHHPXZBT73DWDID72NX3QK77QHQ,1,0,1
AEHHRTGDUGGQ7GGMPOTSDVQSIADQ,1,1,1
AEHHVHPNULNHJXUO4XZLXKTYA6LA,2,0,0
AEHK27QPFD23AXR5P227DJLH5E7Q,1,1,1
AEHK7X73JWEGBGQCZYAK6DZIBIBA,1,1,0
